;Grid_Code;families_total_units;famk_couple_wout_child;famk_couple_1_child_less_18;famk_couple_children_more_18;famk_reg_partner_wout_child;famk_reg_partner_1_child_less_18;famk_reg_partner_children_more_18;famk_nonmarital_wout_child;famk_nonmarital_1_child_less_18;famk_nonmarital_children_more_18;famk_fathers_1_child_less_18;famk_fathers_children_more_18;famk_mothers_1_child_less_18;famk_mothers_children_more_18;famk_wout_child;famk_with_child;famk_single_parent;famk_couple;famk_reg_partner;famk_nonmarital;famk_fathers;famk_mothers;famgr_2_pers;famgr_3_pers;famgr_4_pers;famgr_5_pers;famgr_6_more;fams_seniors_only;fams_seniors_young;fams_wout_seniors
9654;100mN33306E42414;16;9;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3;0;0;0;5;3;8
9655;100mN33306E42415;9;3;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;9
9827;100mN33307E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9828;100mN33307E42415;14;7;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;12;3;0;0;0;4;0;9
9829;100mN33307E42416;20;6;3;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4;0;0;0;0;0;18
9999;100mN33308E42412;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10000;100mN33308E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10001;100mN33308E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10002;100mN33308E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10003;100mN33308E42416;7;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;7
10172;100mN33309E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10173;100mN33309E42412;14;4;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;0;12
10174;100mN33309E42413;6;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;6
10175;100mN33309E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10176;100mN33309E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10177;100mN33309E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10178;100mN33309E42417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10179;100mN33309E42418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10347;100mN33310E42409;17;8;3;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;3;0;14
10348;100mN33310E42410;22;9;3;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;16;5;0;0;0;3;3;17
10349;100mN33310E42411;9;3;3;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;9
10350;100mN33310E42412;8;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;7
10351;100mN33310E42413;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;4
10352;100mN33310E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10353;100mN33310E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10354;100mN33310E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10519;100mN33311E42406;18;5;0;3;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;3;0;0;0;3;3;13
10520;100mN33311E42407;13;7;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;0;0;0;3;4;7
10521;100mN33311E42408;43;15;3;0;0;0;0;19;3;0;0;0;0;0;0;0;0;0;0;0;0;0;36;7;0;0;0;5;3;35
10522;100mN33311E42409;25;5;4;0;0;0;0;11;0;0;0;0;0;4;0;0;0;0;0;0;0;0;21;3;0;0;0;0;3;21
10523;100mN33311E42410;13;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;3;0;3;0;10
10524;100mN33311E42411;7;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;6
10525;100mN33311E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10526;100mN33311E42413;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
10527;100mN33311E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10528;100mN33311E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10694;100mN33312E42406;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3
10695;100mN33312E42407;18;5;0;0;0;0;0;4;0;0;3;0;3;0;0;0;0;0;0;0;0;0;14;4;0;0;0;3;3;14
10696;100mN33312E42408;19;9;4;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;4;0;0;0;3;0;17
10697;100mN33312E42409;46;15;10;3;0;0;0;10;0;0;3;0;4;0;0;0;0;0;0;0;0;0;31;10;4;0;0;5;6;35
10698;100mN33312E42410;20;11;5;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3;3;0;0;3;3;14
10699;100mN33312E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10700;100mN33312E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10701;100mN33312E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10702;100mN33312E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
