;Grid_Code;households_total_units;hhtyp_single;hhtyp_couples_wout_child;hhtyp_couples_with_child;hhtyp_single_parent;hhtyp_multiplepers_wout_nuclear;hhleb_single;hhleb_married_couples;hhleb_registered_partner;hhleb_nonmarital_partner;hhleb_single_mothers;hhleb_single_fathers;hhleb_multipers_wout_nuclear;hhgr_1_pers;hhgr_2_pers;hhgr_3_pers;hhgr_4_pers;hhgr_5_pers;hhgr_6_more;fams_seniors_only;fams_seniors_young;fams_wout_seniors
9654;100mN33306E42414;40;21;12;3;3;3;21;9;0;5;0;0;3;21;17;3;0;0;0;0;0;0
9655;100mN33306E42415;25;13;9;0;0;3;13;3;0;7;0;0;3;13;10;0;0;0;0;0;0;0
9827;100mN33307E42414;17;14;0;0;0;3;14;0;0;0;0;0;3;14;0;0;3;0;0;0;0;0
9828;100mN33307E42415;154;132;11;3;0;8;132;7;0;5;0;0;8;132;19;3;0;0;0;0;0;0
9829;100mN33307E42416;190;166;12;5;3;4;166;10;0;7;3;0;4;166;15;5;0;0;3;0;0;0
9999;100mN33308E42412;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10000;100mN33308E42413;5;3;0;0;0;3;3;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0
10001;100mN33308E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10002;100mN33308E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10003;100mN33308E42416;62;46;3;3;3;9;46;4;0;0;3;0;9;46;8;7;0;0;0;0;0;0
10172;100mN33309E42411;5;3;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
10173;100mN33309E42412;45;29;8;5;0;3;29;8;0;5;0;0;3;29;9;4;3;0;0;0;0;0
10174;100mN33309E42413;43;35;5;0;0;3;35;3;0;3;0;0;3;35;7;0;0;0;0;0;0;0
10175;100mN33309E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10176;100mN33309E42415;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10177;100mN33309E42416;15;14;0;0;0;0;14;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0
10178;100mN33309E42417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10179;100mN33309E42418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10347;100mN33310E42409;33;10;15;3;0;6;10;10;0;7;0;0;6;10;19;3;0;0;0;0;0;0
10348;100mN33310E42410;108;76;16;6;0;10;76;13;0;9;0;0;10;76;21;8;0;3;0;0;0;0
10349;100mN33310E42411;53;44;6;3;0;0;44;4;0;5;0;0;0;44;6;0;0;0;0;0;0;0
10350;100mN33310E42412;86;77;6;0;0;0;77;3;0;4;0;0;0;77;8;0;0;0;0;0;0;0
10351;100mN33310E42413;11;4;5;0;0;3;4;0;0;5;0;0;3;4;5;0;3;0;0;0;0;0
10352;100mN33310E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10353;100mN33310E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10354;100mN33310E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10519;100mN33311E42406;37;18;12;3;3;0;18;8;0;7;0;3;0;18;15;3;0;0;0;0;0;0
10520;100mN33311E42407;44;28;9;3;3;3;28;8;0;3;0;0;3;28;9;6;0;0;0;0;0;0
10521;100mN33311E42408;116;62;35;6;3;11;62;19;0;21;3;0;11;62;39;13;0;0;3;0;0;0
10522;100mN33311E42409;98;63;16;4;5;10;63;9;0;11;5;0;10;63;20;7;4;3;0;0;0;0
10523;100mN33311E42410;37;17;10;3;0;7;17;7;0;6;0;0;7;17;13;0;4;3;0;0;0;0
10524;100mN33311E42411;35;19;6;0;0;9;19;4;0;3;0;0;9;19;11;5;0;0;0;0;0;0
10525;100mN33311E42412;22;19;0;0;0;3;19;0;0;0;0;0;3;19;0;3;0;0;0;0;0;0
10526;100mN33311E42413;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10527;100mN33311E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10528;100mN33311E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10694;100mN33312E42406;11;4;3;0;0;4;4;0;0;3;0;0;4;4;7;0;0;0;0;0;0;0
10695;100mN33312E42407;42;20;9;3;7;4;20;6;0;5;4;3;4;20;15;6;0;0;0;0;0;0
10696;100mN33312E42408;60;39;14;4;0;3;39;13;0;5;0;0;3;39;16;5;0;0;0;0;0;0
10697;100mN33312E42409;127;67;25;13;8;14;67;27;0;11;5;3;14;67;34;18;5;3;0;0;0;0
10698;100mN33312E42410;62;37;13;6;0;5;37;17;0;3;0;0;5;37;15;4;3;3;0;0;0;0
10699;100mN33312E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10700;100mN33312E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10701;100mN33312E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10702;100mN33312E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10703;100mN33312E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10867;100mN33313E42403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10868;100mN33313E42404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10869;100mN33313E42405;41;24;9;3;0;6;24;0;0;10;0;0;6;24;13;0;4;0;0;0;0;0
10870;100mN33313E42406;131;67;26;19;6;13;67;28;0;16;6;0;13;67;39;13;6;4;3;0;0;0
10871;100mN33313E42407;76;47;18;5;4;3;47;10;0;13;4;0;3;47;21;5;3;0;0;0;0;0
10872;100mN33313E42408;96;58;17;7;7;7;58;16;0;8;5;3;7;58;27;6;4;0;0;0;0;0
10873;100mN33313E42409;65;36;14;9;3;3;36;20;0;3;3;0;3;36;19;5;4;0;0;0;0;0
10874;100mN33313E42410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10875;100mN33313E42411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10876;100mN33313E42412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10877;100mN33313E42413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
