;Grid_Code;population_total_units;al_10_under;al_10_19;al_20_29;al_30_39;al_40_49;al_50_59;al_60_69;al_70_79;al_80_over;alk_18_under;alk_18_29;alk_30_49;alk_50_64;alk_65_over;fam_single;fam_married;fam_widowed;fam_divorced;fam_civil_partner;fam_civil_partner_deceased;fam_civil_partner_dissolved;fam_unknown;geb_germany;geb_eu27;geb_other_europe;geb_other_world;geb_other;ght_male;ght_female;re_roman_catholic;re_protestant;re_other;sg_germany;sg_eu27;sg_other_europe;sg_other_world;sg_other;sh_germany;sh_bosnia;sh_greece;sh_italy;sh_kazakhstan;sh_croatia;sh_netherlands;sh_austria;sh_poland;sh_romania;sh_russia;sh_turkey;sh_ukraine;sh_other;sk_germany;sk_abroad;sz_one;sz_mult_german_foreign;sz_mult_foreign_only;sz_unknown
9654;100mN33306E42414;61;3;0;7;7;6;12;14;6;5;3;8;13;16;21;24;26;5;5;0;0;0;0;50;4;3;5;0;37;24;8;19;34;56;3;3;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;4;56;5;57;4;0;0
9655;100mN33306E42415;41;0;0;18;13;4;3;0;3;0;0;19;17;3;3;32;4;3;3;0;0;0;0;34;3;0;4;0;19;22;8;11;22;37;3;0;3;0;37;0;0;0;0;0;0;0;0;0;0;0;0;3;37;4;40;0;0;0
9827;100mN33307E42414;22;0;0;8;5;3;4;0;0;0;0;8;8;5;0;14;3;0;4;0;0;0;0;6;5;0;10;0;16;6;4;5;13;8;4;3;8;0;8;0;0;0;0;0;0;0;0;3;0;0;0;9;8;14;20;3;0;0
9828;100mN33307E42415;176;3;5;54;41;25;24;10;7;7;4;58;66;28;20;106;27;5;37;0;0;0;0;98;27;13;33;5;129;47;31;46;99;113;28;10;25;0;113;0;0;3;0;0;0;3;7;0;0;4;0;46;113;63;165;11;0;0
9829;100mN33307E42416;231;3;13;84;39;31;33;17;7;4;10;90;70;43;18;152;35;4;40;0;0;0;0;145;25;10;49;3;156;75;39;72;120;173;18;5;35;0;173;0;3;3;0;0;0;0;10;0;0;3;0;40;173;58;207;24;0;0
9999;100mN33308E42412;7;0;0;0;0;0;0;4;0;0;0;0;3;3;0;3;5;0;0;0;0;0;0;7;0;0;0;0;3;5;0;3;5;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;0;0
10000;100mN33308E42413;9;0;0;5;3;0;0;0;0;0;0;5;3;0;0;8;0;0;0;0;0;0;0;7;0;0;0;0;4;5;0;3;6;9;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;8;0;0;0
10001;100mN33308E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10002;100mN33308E42415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10003;100mN33308E42416;107;3;0;29;23;23;14;9;5;0;3;30;46;20;8;75;15;3;15;0;0;0;0;80;14;3;7;4;68;39;17;46;44;93;10;3;3;0;93;0;0;3;0;0;0;0;3;0;0;0;0;6;93;14;98;9;0;0
10172;100mN33309E42411;9;0;0;3;0;4;3;0;0;0;0;3;5;3;0;5;3;0;3;0;0;0;0;7;0;0;3;0;6;3;0;3;6;6;0;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;3;6;3;9;0;0;0
10173;100mN33309E42412;71;3;4;22;15;4;9;11;3;0;5;23;19;15;9;40;25;0;5;0;0;0;0;41;7;3;20;0;42;29;8;21;42;54;3;3;13;0;54;0;0;0;0;0;0;0;0;0;0;0;0;14;54;17;56;14;0;0
10174;100mN33309E42413;56;0;3;24;15;4;6;3;0;0;3;24;19;8;3;40;15;0;0;0;0;0;0;29;5;15;6;0;40;16;5;12;39;26;5;17;8;0;26;0;0;0;0;0;0;0;0;0;0;15;0;12;26;30;56;0;0;0
10175;100mN33309E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10176;100mN33309E42415;5;0;0;3;0;3;0;0;0;0;0;3;3;0;0;3;3;0;0;0;0;0;0;4;0;0;0;0;4;0;0;3;3;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0
10177;100mN33309E42416;12;0;0;5;6;0;0;0;0;0;0;5;7;0;0;9;0;0;3;0;0;0;0;7;0;0;3;0;5;7;3;5;5;9;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;3;9;3;10;3;0;0
10178;100mN33309E42417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10179;100mN33309E42418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10347;100mN33310E42409;67;3;0;23;20;6;4;7;3;3;3;23;26;9;6;39;20;3;6;0;0;0;0;54;5;3;6;0;30;37;11;20;36;58;4;3;3;0;58;0;0;0;0;0;0;0;3;0;0;0;0;5;58;9;62;5;0;0
