ARTICLE_ID;COMPANY_ID;PUBLICATION_DATE;INDUSTRY_ID;SOURCE_ID;KEY_WORDS_FOUND;SENTIMENT;RELEVANCE;BOOL_ARTICLE_READ
10455620;541500582;2022-04-28 00:00:00;56;450548119;intensify, inflation, new, cost, charge, premium, expensive, change, cancellation, cancel, method, rise, low, term, difficulty, fall, close, fee, hard, lack;0;1;0
16743504;37560521;2022-11-15 00:00:00;58;2589168275;launch, new, stop, offer, certificate, credit, opportunity, reduction, announcement, impacted, earnings, asset;5;2;0
16537437;144746614;2022-11-09 00:00:00;23;1514249936;CFO, down, borrowing, cost, change , sell, shorting, terms, currency, reduce, creditor, decline, suffer, bad, inflation , high, fall, yield, loan, costly, earnings, increase, gain, arrest, criminal, charge, cuts, affect, slump, tighten , weak, loss, strong, recall, court, hard, restore, significant, expenses, income, provision, impacted, innovation, fee, new, sue, injury, plaintiff, authority, search, investigation, sanctions, Ruling, asset, method, offer;0;1;0
10507632;410467;2022-04-30 12:28:00;50;260329953;profit, cost, crisis, high, interest rate, vulnerable, inflation, rise, impact, concern, worried, anxiety, branch closure, weaken, provision, earning, fall, trouble, authority, raid, suspect, money laundering, issue, prosecutor;-7;3;0
13732150;654990;2022-08-24 20:30:00;15;2169560392;restore, dynamic, ESG, leverage, opportunity, strategy, challenge, withdrawal, resources , collaborate, new, essential, sustainable, risk, Uncertainty, obligation, Liability, cost, change , Ruling, regulation, hard, high, import, Corona, fine, premiums, stop, impacted;2;10;0
10472504;113062005;2022-04-28 00:00:00;27;1384378301;transaction, process, criminal, appeal, investment, transition, new, acquisition, purchase, contract, offer;0;2;0
13337170;20765463;2022-08-08 03:42:00;70;2738838337;closing, worry, competition, down, note, record, new, problem, issues, charge;0;1;0
16776235;110360;2022-11-16 00:00:00;56;1860169847;accountant, new, order, offer, expenses, asset, process, sales, transaction, currency, Ruling, payout, opportunity;0;1;0
16830690;681233855;2022-11-17 00:00:00;8;748967286;new, launch, strategy, transition, tilt, charge, compliance, regulator, terms, opportunity, note, Ruling, sales;4;10;0
32067488;30338823;2023-03-11 00:15:04;39;3791986800;fine, acquisition, competition, order, revenues, regulator, lawsuit, challenge, takeover, search, Ruling, block, investment, cancellation;0;1;1
19660676;23650391;2022-12-17 00:00:00;56;3762738417;asset, profit, SEC, order, loss, gain, price decline, decline, interest, fall, down, comparison, CFO, resources, yield, premiums;0;1;0
16985709;22385966;2022-11-23 00:00:00;2;2321114348;contract, restriction, Ruling, regulation, process, new, resources, intensive, capital, cost, strategy;3;9;0
12701701;299199;2022-07-21 00:00:00;6;3762738417;down, rise, fall, loss, ceo, profit, order, gain, price decline, decline, investment, yield, S&P, high, equity;0;6;0
32386039;5567141;2023-03-16 00:00:00;27;570575422;banking crisis, regulator, shorting, worry, threaten, credit, recession, cuts, credit rating, downgrade, risk, outflow, note, high, crisis, severe, stress, failure, terms, funding, problem, low, yield, mortgage, interest rate, balance, new, fall, cost, loan, sell, loss, liquidity, headline, collapse, bank regulator, fail, down, rise, regulation, stress test, tighten, stop, bad, rating, negative, profitability, delinquency, weaken, crash, tight, growth, inflation, determination, offer, resources, jobless, downturn, tilt;-2;6;0
