,country_name,government_expenditure_on_education_perc_of_gdp,life_expectancy_at_birth,population_total,population_urban
0,Afghanistan,2.86085939407349,62.575,38972230.0,10142913.0
1,Albania,3.09999990463257,76.989,2837849.0,1762645.0
2,Algeria,7.04239749908447,74.453,43451666.0,32038217.0
3,American Samoa,,,46189.0,40255.0
4,Andorra,,,77700.0,68311.0
5,Angola,2.41519999504089,62.261,33428486.0,22338586.0
6,Antigua and Barbuda,3.45311999320984,78.841,92664.0,22641.0
7,Argentina,5.01604986190796,75.892,45376763.0,41796990.0
8,Armenia,2.70567011833191,72.173,2805608.0,1776315.0
9,Aruba,,75.723,106585.0,46574.0
10,Australia,6.09999990463257,83.2,25655289.0,22125378.0
11,Austria,5.07000017166138,81.1926829268293,8916864.0,5238479.0
12,Azerbaijan,4.33204984664917,66.868,10093121.0,5692217.0
13,"Bahamas, The",2.37134003639221,72.677,406471.0,338367.0
14,Bahrain,2.15205001831055,79.174,1477469.0,1322423.0
15,Bangladesh,2.04921746253967,71.968,167420951.0,63916296.0
16,Barbados,3.05817008018494,77.393,280693.0,87551.0
17,Belarus,4.95244979858398,74.2268292682927,9379952.0,7455467.0
18,Belgium,6.71000003814697,80.7951219512195,11538604.0,11316947.0
19,Belize,7.52877998352051,72.854,394921.0,181762.0
20,Benin,3.00365996360779,60.088,12643123.0,6121168.0
21,Bermuda,1.87477123737335,82.0560975609756,63893.0,63893.0
22,Bhutan,5.90141773223877,71.609,772506.0,326894.0
23,Bolivia,9.8374547958374,64.467,11936162.0,8369995.0
24,Bosnia and Herzegovina,,76.225,3318407.0,1626683.0
25,Botswana,8.73999977111816,65.647,2546402.0,1804813.0
26,Brazil,,74.009,213196304.0,185636418.0
27,British Virgin Islands,2.59050011634827,75.849,30910.0,14996.0
28,Brunei Darussalam,,74.795,441725.0,345650.0
29,Bulgaria,4.03999996185303,73.6073170731707,6934015.0,5248079.0
30,Burkina Faso,5.51908016204834,59.731,21522626.0,6587430.0
31,Burundi,5.04097986221313,61.566,12220227.0,1675149.0
32,Cabo Verde,7.58479022979736,74.808,582640.0,388341.0
33,Cambodia,3.12630653381348,70.416,16396860.0,3973287.0
34,Cameroon,3.16616010665894,60.833,26491087.0,15248270.0
35,Canada,5.17000007629395,81.7487804878049,38037204.0,31023904.0
36,Cayman Islands,,,67311.0,67311.0
37,Central African Republic,2.16669988632202,54.604,5343020.0,2254648.0
38,Chad,2.9085099697113,52.777,16644701.0,3914834.0
39,Channel Islands,,81.264,171113.0,52982.0
40,Chile,,79.377,19300315.0,16931587.0
41,China,3.5699999332428,78.077,1411100000.0,866810508.0
42,Colombia,4.93310022354126,74.769,50930662.0,41470292.0
43,Comoros,,64.166,806166.0,236852.0
44,"Congo, Dem. Rep.",2.45000004768372,59.739,92853164.0,42376327.0
45,"Congo, Rep.",4.4486198425293,63.785,5702174.0,3867728.0
46,Costa Rica,6.71066999435425,79.277,5123105.0,4137983.0
47,Cote d'Ivoire,3.44302010536194,59.032,26811790.0,13863304.0
48,Croatia,5.53999996185303,77.7243902439024,4047680.0,2329561.0
49,Cuba,1.15247967187315e-05,77.567,11300698.0,8723461.0
50,Curacao,7.42913866043091,,154947.0,137999.0
51,Cyprus,6.05999994277954,81.391,1237537.0,826935.0
52,Czechia,5.07999992370605,78.2268292682927,10697858.0,7922941.0
