Country Name,"Country Code","Series Name","Series Code","2020 [YR2020]"
Afghanistan,"AFG","GDP (current US$)","NY.GDP.MKTP.CD","20143442150.971"
Afghanistan,"AFG","Population, total","SP.POP.TOTL","38972230"
Afghanistan,"AFG","Urban population","SP.URB.TOTL","10142913"
Afghanistan,"AFG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","2.86085939407349"
Afghanistan,"AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.575"
Afghanistan,"AFG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","#N/A"
Afghanistan,"AFG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","#N/A"
Afghanistan,"AFG","Labor force, total","SL.TLF.TOTL.IN","9105733"
Albania,"ALB","GDP (current US$)","NY.GDP.MKTP.CD","15131866270.5936"
Albania,"ALB","Population, total","SP.POP.TOTL","2837849"
Albania,"ALB","Urban population","SP.URB.TOTL","1762645"
Albania,"ALB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","3.09999990463257"
Albania,"ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","76.989"
Albania,"ALB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","37.2477679402658"
Albania,"ALB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","22.7039815429045"
Albania,"ALB","Labor force, total","SL.TLF.TOTL.IN","1347461"
Algeria,"DZA","GDP (current US$)","NY.GDP.MKTP.CD","145009181490.62"
Algeria,"DZA","Population, total","SP.POP.TOTL","43451666"
Algeria,"DZA","Urban population","SP.URB.TOTL","32038217"
Algeria,"DZA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","7.04239749908447"
Algeria,"DZA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.453"
Algeria,"DZA","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","27.9953002099675"
Algeria,"DZA","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","17.3157889010977"
Algeria,"DZA","Labor force, total","SL.TLF.TOTL.IN","11857820"
American Samoa,"ASM","GDP (current US$)","NY.GDP.MKTP.CD","716000000"
American Samoa,"ASM","Population, total","SP.POP.TOTL","46189"
American Samoa,"ASM","Urban population","SP.URB.TOTL","40255"
American Samoa,"ASM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","#N/A"
American Samoa,"ASM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","#N/A"
American Samoa,"ASM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","96.5083798882682"
American Samoa,"ASM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","59.4972067039106"
American Samoa,"ASM","Labor force, total","SL.TLF.TOTL.IN","#N/A"
Andorra,"AND","GDP (current US$)","NY.GDP.MKTP.CD","2891022272.98687"
Andorra,"AND","Population, total","SP.POP.TOTL","77700"
Andorra,"AND","Urban population","SP.URB.TOTL","68311"
Andorra,"AND","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","#N/A"
Andorra,"AND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","#N/A"
Andorra,"AND","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","#N/A"
Andorra,"AND","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","#N/A"
Andorra,"AND","Labor force, total","SL.TLF.TOTL.IN","#N/A"
Angola,"AGO","GDP (current US$)","NY.GDP.MKTP.CD","53619073505.1377"
Angola,"AGO","Population, total","SP.POP.TOTL","33428486"
Angola,"AGO","Urban population","SP.URB.TOTL","22338586"
Angola,"AGO","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","2.41519999504089"
Angola,"AGO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.261"
Angola,"AGO","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","16.2453727846664"
Angola,"AGO","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","35.6420731357392"
Angola,"AGO","Labor force, total","SL.TLF.TOTL.IN","13979133"
Antigua and Barbuda,"ATG","GDP (current US$)","NY.GDP.MKTP.CD","1370281481.48148"
Antigua and Barbuda,"ATG","Population, total","SP.POP.TOTL","92664"
Antigua and Barbuda,"ATG","Urban population","SP.URB.TOTL","22641"
Antigua and Barbuda,"ATG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","3.45311999320984"
Antigua and Barbuda,"ATG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","78.841"
Antigua and Barbuda,"ATG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","47.8207235063896"
Antigua and Barbuda,"ATG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","43.7044186649945"
Antigua and Barbuda,"ATG","Labor force, total","SL.TLF.TOTL.IN","#N/A"
Argentina,"ARG","GDP (current US$)","NY.GDP.MKTP.CD","385540224628.292"
Argentina,"ARG","Population, total","SP.POP.TOTL","45376763"
Argentina,"ARG","Urban population","SP.URB.TOTL","41796990"
Argentina,"ARG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","5.01604986190796"
Argentina,"ARG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","75.892"
Argentina,"ARG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","13.6089274859868"
Argentina,"ARG","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","16.6108723998011"
Argentina,"ARG","Labor force, total","SL.TLF.TOTL.IN","19406591"
Armenia,"ARM","GDP (current US$)","NY.GDP.MKTP.CD","12641697523.2966"
Armenia,"ARM","Population, total","SP.POP.TOTL","2805608"
Armenia,"ARM","Urban population","SP.URB.TOTL","1776315"
Armenia,"ARM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","2.70567011833191"
Armenia,"ARM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","72.173"
Armenia,"ARM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","39.7238206244142"
Armenia,"ARM","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","29.7649869151934"
Armenia,"ARM","Labor force, total","SL.TLF.TOTL.IN","1385587"
Aruba,"ABW","GDP (current US$)","NY.GDP.MKTP.CD","2610038937.56355"
Aruba,"ABW","Population, total","SP.POP.TOTL","106585"
Aruba,"ABW","Urban population","SP.URB.TOTL","46574"
Aruba,"ABW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","#N/A"
Aruba,"ABW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","75.723"
Aruba,"ABW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","64.9277808389368"
Aruba,"ABW","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","51.6450152758823"
Aruba,"ABW","Labor force, total","SL.TLF.TOTL.IN","#N/A"
Australia,"AUS","GDP (current US$)","NY.GDP.MKTP.CD","1326901059123.21"
Australia,"AUS","Population, total","SP.POP.TOTL","25655289"
Australia,"AUS","Urban population","SP.URB.TOTL","22125378"
Australia,"AUS","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","6.09999990463257"
Australia,"AUS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","83.2"
Australia,"AUS","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","20.2251510630871"
Australia,"AUS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","24.0082830210698"
Australia,"AUS","Labor force, total","SL.TLF.TOTL.IN","13590200"
Austria,"AUT","GDP (current US$)","NY.GDP.MKTP.CD","435225238000.437"
Austria,"AUT","Population, total","SP.POP.TOTL","8916864"
Austria,"AUT","Urban population","SP.URB.TOTL","5238479"
Austria,"AUT","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","5.07000017166138"
Austria,"AUT","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","81.1926829268293"
Austria,"AUT","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","48.6108163058355"
Austria,"AUT","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","51.6128149281413"
Austria,"AUT","Labor force, total","SL.TLF.TOTL.IN","4638300"
Azerbaijan,"AZE","GDP (current US$)","NY.GDP.MKTP.CD","42693000000"
Azerbaijan,"AZE","Population, total","SP.POP.TOTL","10093121"
Azerbaijan,"AZE","Urban population","SP.URB.TOTL","5692217"
Azerbaijan,"AZE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","4.33204984664917"
Azerbaijan,"AZE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","66.868"
Azerbaijan,"AZE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","36.3943117827554"
Azerbaijan,"AZE","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","35.6235558660257"
Azerbaijan,"AZE","Labor force, total","SL.TLF.TOTL.IN","5165410"
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","9699500000"
"Bahamas, The","BHS","Population, total","SP.POP.TOTL","406471"
"Bahamas, The","BHS","Urban population","SP.URB.TOTL","338367"
"Bahamas, The","BHS","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","2.37134003639221"
"Bahamas, The","BHS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","72.677"
"Bahamas, The","BHS","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","34.1687715861642"
"Bahamas, The","BHS","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","25.2879014382185"
"Bahamas, The","BHS","Labor force, total","SL.TLF.TOTL.IN","226709"
Bahrain,"BHR","GDP (current US$)","NY.GDP.MKTP.CD","34723357446.8085"
Bahrain,"BHR","Population, total","SP.POP.TOTL","1477469"
Bahrain,"BHR","Urban population","SP.URB.TOTL","1322423"
Bahrain,"BHR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","2.15205001831055"
Bahrain,"BHR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","79.174"
Bahrain,"BHR","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","67.09261495328"
Bahrain,"BHR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","72.7153247387956"
Bahrain,"BHR","Labor force, total","SL.TLF.TOTL.IN","831368"
Bangladesh,"BGD","GDP (current US$)","NY.GDP.MKTP.CD","373902134700.41"
Bangladesh,"BGD","Population, total","SP.POP.TOTL","167420951"
Bangladesh,"BGD","Urban population","SP.URB.TOTL","63916296"
Bangladesh,"BGD","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","2.04921746253967"
Bangladesh,"BGD","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","71.968"
Bangladesh,"BGD","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","15.8286588153584"
Bangladesh,"BGD","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","10.442787732227"
Bangladesh,"BGD","Labor force, total","SL.TLF.TOTL.IN","70940009"
Barbados,"BRB","GDP (current US$)","NY.GDP.MKTP.CD","4671800000"
Barbados,"BRB","Population, total","SP.POP.TOTL","280693"
Barbados,"BRB","Urban population","SP.URB.TOTL","87551"
Barbados,"BRB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","3.05817008018494"
Barbados,"BRB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","77.393"
Barbados,"BRB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","36.7963097735348"
Barbados,"BRB","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","29.741213236868"
Barbados,"BRB","Labor force, total","SL.TLF.TOTL.IN","140212"
Belarus,"BLR","GDP (current US$)","NY.GDP.MKTP.CD","61371126414.1663"
Belarus,"BLR","Population, total","SP.POP.TOTL","9379952"
Belarus,"BLR","Urban population","SP.URB.TOTL","7455467"
Belarus,"BLR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","4.95244979858398"
Belarus,"BLR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","74.2268292682927"
Belarus,"BLR","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","57.9217344260324"
Belarus,"BLR","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","61.0121492642983"
Belarus,"BLR","Labor force, total","SL.TLF.TOTL.IN","4931564"
Belgium,"BEL","GDP (current US$)","NY.GDP.MKTP.CD","525211810652.608"
Belgium,"BEL","Population, total","SP.POP.TOTL","11538604"
Belgium,"BEL","Urban population","SP.URB.TOTL","11316947"
Belgium,"BEL","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","6.71000003814697"
Belgium,"BEL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","80.7951219512195"
Belgium,"BEL","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","77.7339834628859"
Belgium,"BEL","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","79.4467389098884"
Belgium,"BEL","Labor force, total","SL.TLF.TOTL.IN","5167188"
Belize,"BLZ","GDP (current US$)","NY.GDP.MKTP.CD","2080000000"
Belize,"BLZ","Population, total","SP.POP.TOTL","394921"
Belize,"BLZ","Urban population","SP.URB.TOTL","181762"
Belize,"BLZ","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","7.52877998352051"
Belize,"BLZ","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","72.854"
Belize,"BLZ","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","43.3173076923077"
Belize,"BLZ","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","37.0432692307692"
Belize,"BLZ","Labor force, total","SL.TLF.TOTL.IN","177407"
Benin,"BEN","GDP (current US$)","NY.GDP.MKTP.CD","15651545208.8783"
Benin,"BEN","Population, total","SP.POP.TOTL","12643123"
Benin,"BEN","Urban population","SP.URB.TOTL","6121168"
Benin,"BEN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","3.00365996360779"
Benin,"BEN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","60.088"
Benin,"BEN","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","24.9607629492202"
